County	Soil Code	Soil Description	Soil Description
Adair County	8B	Judson silty clay loam, dissected till plain, 2 to 5 percent slopes	93
Adair County	8C	Judson silty clay loam, dissected till plain, 5 to 9 percent slopes	87
Adair County	11B	Colo, occasionally flooded-Ely silty clay loams, dissected till plain, 2 to 5 percent slopes	80
Adair County	13B	Vesser-Nodaway silt loams, 2 to 5 percent slopes	70
Adair County	51	Vesser silt loam, dissected till plain, 0 to 2 percent slopes, occasionally flooded	74
Adair County	54	Zook silty clay loam, 0 to 2 percent slopes, occasionally flooded	67
Adair County	54+	Zook silt loam, 0 to 2 percent slopes, occasionally flooded, overwash	69
Adair County	69C	Clearfield silty clay loam, dissected till plain, 5 to 9 percent slopes	59
Adair County	69C2	Clearfield silty clay loam, dissected till plain, 5 to 9 percent slopes, eroded	56
Adair County	76B	Ladoga silt loam, 2 to 5 percent slopes	86
Adair County	76C	Ladoga silt loam, dissected till plain, 5 to 9 percent slopes	80
Adair County	76C2	Ladoga silt loam, dissected till plain, 5 to 9 percent slopes, eroded	75
Adair County	76D	Ladoga silt loam, 9 to 14 percent slopes	52
Adair County	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	49
Adair County	80C	Clinton silt loam, 5 to 9 percent slopes	72
Adair County	80D2	Clinton silt loam, 9 to 14 percent slopes, eroded	46
Adair County	80E2	Clinton silt loam, 14 to 18 percent slopes, eroded	35
Adair County	133	Colo silty clay loam, deep loess, 0 to 2 percent slopes, occasionally flooded	78
Adair County	133+	Colo silt loam, deep loess, 0 to 2 percent slopes, overwash, occasionally flooded	78
Adair County	175C2	Dickinson fine sandy loam, 5 to 9 percent slopes, moderately eroded	44
Adair County	175D2	Dickinson fine sandy loam, 9 to 14 percent slopes, moderately eroded	20
Adair County	179D	Gara loam, dissected till plain, 9 to 14 percent slopes	49
Adair County	179D2	Gara loam, dissected till plain, 9 to 14 percent slopes, eroded	43
Adair County	179E2	Gara loam, dissected till plain, 14 to 18 percent slopes, eroded	32
Adair County	179F2	Gara loam, dissected till plain, 18 to 25 percent slopes, eroded	16
Adair County	212	Kennebec silt loam, 0 to 2 percent slopes, occasionally flooded	91
Adair County	222C	Clarinda silty clay loam, 5 to 9 percent slopes	36
Adair County	222C2	Clarinda silty clay loam, 5 to 9 percent slopes, eroded	38
Adair County	222D2	Clarinda silty clay loam, dissected till plain, 9 to 14 percent slopes, eroded	17
Adair County	269	Humeston silt loam, 0 to 2 percent slopes	77
Adair County	273B	Olmitz loam, 2 to 5 percent slopes	89
Adair County	273C	Olmitz loam, 5 to 9 percent slopes	85
Adair County	287B	Zook-Colo-Ely silty clay loams, 2 to 5 percent slopes	78
Adair County	315	Nodaway soils, frequently flooded, 0 to 2 percent slopes	61
Adair County	337C2	Dickman, loamy substratum-Sharpsburg complex, 5 to 9 percent slopes, eroded	54
Adair County	337D2	Dickman, loamy substratum-Sharpsburg complex, 9 to 14 percent slopes, eroded	37
Adair County	368	Macksburg silty clay loam, 0 to 2 percent slopes	93
Adair County	368B	Macksburg silty clay loam, 2 to 5 percent slopes	89
Adair County	369	Winterset silty clay loam, 0 to 2 percent slopes	83
Adair County	370	Sharpsburg silty clay loam, 0 to 2 percent slopes	96
Adair County	370B	Sharpsburg silty clay loam, 2 to 5 percent slopes	91
Adair County	370C	Sharpsburg silty clay loam, 5 to 9 percent slopes	81
Adair County	370C2	Sharpsburg silty clay loam, 5 to 9 percent slopes, eroded	80
Adair County	370D	Sharpsburg silty clay loam, 9 to 14 percent slopes	59
Adair County	370D2	Sharpsburg silty clay loam, 9 to 14 percent slopes, eroded	54
Adair County	412G	Sogn soils, 25 to 40 percent slopes	7
Adair County	428B	Ely silty clay loam, dissected till plain, 2 to 5 percent slopes	88
Adair County	430	Ackmore silt loam, 0 to 2 percent slopes, occasionally flooded	77
Adair County	434D	Arbor silty clay loam, 9 to 14 percent slopes	61
Adair County	451D2	Caleb loam, 9 to 14 percent slopes, moderately eroded	52
Adair County	570B	Nira silty clay loam, 2 to 5 percent slopes	94
Adair County	570C	Nira silty clay loam, dissected till plain, 5 to 9 percent slopes	84
Adair County	570C2	Nira silty clay loam, dissected till plain, 5 to 9 percent slopes, eroded	81
Adair County	570D2	Nira silty clay loam, 9 to 14 percent slopes, eroded	55
Adair County	792D2	Armstrong loam, 9 to 14 percent slopes, moderately eroded	7
Adair County	822C	Lamoni silty clay loam, 5 to 9 percent slopes	42
Adair County	822C2	Lamoni silty clay loam, 5 to 9 percent slopes, eroded	32
Adair County	822D	Lamoni silty clay loam, 9 to 14 percent slopes	15
Adair County	822D2	Lamoni silty clay loam, 9 to 14 percent slopes, eroded	10
Adair County	822D3	Lamoni clay loam, 9 to 14 percent slopes, severely eroded	11
Adair County	870B	Sharpsburg silty clay loam, terrace, 2 to 5 percent slopes	91
Adair County	876B	Ladoga silt loam, terrace on dissected till plain, 2 to 5 percent slopes	86
Adair County	876C	Ladoga silt loam, terrace on dissected till plain, 5 to 9 percent slopes	81
Adair County	993D2	Gara-Armstrong loams, 9 to 14 percent slopes, moderately eroded	33
Adair County	993E2	Gara-Armstrong loams, 14 to 18 percent slopes, moderately eroded	26
Adair County	993F2	Gara-Armstrong loams, 18 to 25 percent slopes, moderately eroded	15
Adair County	1820	Dockery-Quiver silt loams, 0 to 2 percent slopes, occasionally flooded	87
Adair County	5030	Pits, limestone quarries	
Adair County	5040	Udorthents, loamy	5
Adair County	5080	Udorthents, sanitary landfill	5
Adair County	AW	Animal waste lagoon	
Adair County	BW	Built wetland	
Adair County	INT	Intermittent water	
Adair County	SL	Sewage lagoon	
Adair County	W	Water	
Adair County	Y24C	Shelby loam, dissected till plain, 5 to 9 percent slopes	76
Adair County	Y24C2	Shelby clay loam, dissected till plain, 5 to 9 percent slopes, eroded	73
Adair County	Y24D	Shelby loam, dissected till plain, 9 to 14 percent slopes	52
Adair County	Y24D2	Shelby clay loam, dissected till plain, 9 to 14 percent slopes, eroded	49
Adair County	Y24E	Shelby loam, dissected till plain, 14 to 18 percent slopes	41
Adair County	Y24E2	Shelby clay loam, dissected till plain, 14 to 18 percent slopes, eroded	35
Adair County	Y24F2	Shelby clay loam, dissected till plain, 18 to 25 percent slopes, eroded	20
Adair County	Y93D2	Shelby-Adair clay loams, dissected till plain, 9 to 14 percent slopes, eroded	35
Adair County	Y93E2	Shelby-Adair clay loams, dissected till plain, 14 to 18 percent slopes, eroded	28
Adair County	Y192C2	Adair clay loam, dissected till plain, 5 to 9 percent slopes, eroded	33
Adair County	Y192D2	Adair clay loam, dissected till plain, 9 to 14 percent slopes, eroded	16
Adams County	7	Wiota silty clay loam, 0 to 2 percent slopes, rarely flooded	99
Adams County	7B	Wiota silty clay loam, 2 to 5 percent slopes, rarely flooded	95
Adams County	8B	Judson silty clay loam, dissected till plain, 2 to 5 percent slopes	93
Adams County	15B	Olmitz-Ely-Zook complex, 2 to 5 percent slopes	82
Adams County	16	Nodaway-Kennebec complex, 0 to 2 percent slopes, occasionally flooded	85
Adams County	43	Bremer silty clay loam, 0 to 2 percent slopes, rarely flooded	79
Adams County	45B	Zook-Ely complex, 2 to 5 percent slopes	73
Adams County	54	Zook silty clay loam, 0 to 2 percent slopes, occasionally flooded	67
Adams County	54+	Zook silt loam, 0 to 2 percent slopes, occasionally flooded, overwash	69
Adams County	76B	Ladoga silt loam, 2 to 5 percent slopes	86
Adams County	76C	Ladoga silt loam, dissected till plain, 5 to 9 percent slopes	80
Adams County	76D	Ladoga silt loam, 9 to 14 percent slopes	52
Adams County	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	49
Adams County	86	Mt. Sterling-Zook, overwash, complex, 0 to 2 percent slopes, occasionally flooded	75
Adams County	88	Nevin silty clay loam, 0 to 2 percent slopes, rarely flooded	95
Adams County	172	Wabash silty clay, frequently ponded, 0 to 2 percent slopes, occasionally flooded	37
Adams County	179E	Gara loam, dissected till plain, 14 to 18 percent slopes	37
Adams County	179F	Gara loam, 18 to 25 percent slopes	18
Adams County	179G	Gara loam, dissected till plain, 25 to 40 percent slopes	5
Adams County	222C2	Clarinda silty clay loam, 5 to 9 percent slopes, eroded	38
Adams County	222D	Clarinda silty clay loam, 9 to 14 percent slopes	13
Adams County	222D2	Clarinda silty clay loam, dissected till plain, 9 to 14 percent slopes, eroded	17
Adams County	222D3	Clarinda silty clay, 9 to 14 percent slopes, severely eroded	16
Adams County	248	Wabash silty clay loam, occasionally ponded, 0 to 2 percent slopes, occasionally flooded	37
Adams County	269	Humeston silt loam, 0 to 2 percent slopes, occasionally flooded	70
Adams County	273B	Olmitz loam, 2 to 5 percent slopes	89
Adams County	273C	Olmitz loam, 5 to 9 percent slopes	85
Adams County	337C2	Dickman, loamy substratum-Sharpsburg complex, 5 to 9 percent slopes, eroded	54
Adams County	337D2	Dickman, loamy substratum-Sharpsburg complex, 9 to 14 percent slopes, eroded	37
Adams County	354	Aquolls, ponded, 0 to 1 percent slopes	5
Adams County	368	Macksburg silty clay loam, 0 to 2 percent slopes	93
Adams County	369	Winterset silty clay loam, 0 to 2 percent slopes	83
Adams County	370	Sharpsburg silty clay loam, 0 to 2 percent slopes	96
Adams County	370B	Sharpsburg silty clay loam, 2 to 5 percent slopes	91
Adams County	371C2	Sharpsburg-Nira silty clay loams, 5 to 9 percent slopes, eroded	83
Adams County	371D2	Sharpsburg-Nira silty clay loams, 9 to 14 percent slopes, eroded	57
Adams County	421C2	Gara-Bucknell complex, 5 to 9 percent slopes, moderately eroded	47
Adams County	421D2	Gara-Bucknell complex, 9 to 14 percent slopes, moderately eroded	28
Adams County	421E2	Gara-Bucknell complex, 14 to 18 percent slopes, moderately eroded	23
Adams County	435	Zook-Mt. Sterling complex, 0 to 2 percent slopes, occasionally flooded	73
Adams County	469C2	Lamoni-Clarinda-Shelby complex, 5 to 9 percent slopes, eroded	44
Adams County	469C3	Lamoni-Clarinda-Shelby complex, 5 to 9 percent slopes, severely eroded	39
Adams County	470D2	Lamoni-Shelby complex, 9 to 14 percent slopes, eroded	28
Adams County	545B	Zook-Ely-Gullied land complex, 2 to 5 percent slopes	64
Adams County	569C	Nira-Clearfield complex, 5 to 9 percent slopes	78
Adams County	579E3	Bucknell-Hedrick complex, 14 to 18 percent slopes, severely eroded	20
Adams County	794C2	Armstrong-Ladoga complex, 5 to 9 percent slopes, moderately eroded	43
Adams County	822D2	Lamoni silty clay loam, 9 to 14 percent slopes, eroded	10
Adams County	870B	Sharpsburg silty clay loam, terrace, 2 to 5 percent slopes	91
Adams County	870C2	Sharpsburg silty clay loam, terrace, 5 to 9 percent slopes, eroded	79
Adams County	870D2	Sharpsburg silty clay loam, terrace, 9 to 14 percent slopes, eroded	56
Adams County	876B	Ladoga silt loam, terrace on dissected till plain, 2 to 5 percent slopes	86
Adams County	876C2	Ladoga silt loam, terrace on dissected till plain, 5 to 9 percent slopes, eroded	78
Adams County	876D2	Ladoga silt loam, terrace on dissected till plain, 9 to 14 percent slopes, eroded	51
Adams County	1820	Dockery-Quiver silt loams, 0 to 2 percent slopes, occasionally flooded	87
Adams County	2368B	Macksburg-Nira complex, 2 to 5 percent slopes	91
Adams County	5030	Pits, limestone quarries	
Adams County	5040	Udorthents, loamy	5
Adams County	5041	Udorthents, reclaimed	5
Adams County	AW	Animal waste lagoon	
Adams County	SL	Sewage lagoon	
Adams County	W	Water	
Adams County	Y24C2	Shelby clay loam, dissected till plain, 5 to 9 percent slopes, eroded	73
Adams County	Y24D2	Shelby clay loam, dissected till plain, 9 to 14 percent slopes, eroded	49
Adams County	Y24E	Shelby loam, dissected till plain, 14 to 18 percent slopes	41
Adams County	Y24E2	Shelby clay loam, dissected till plain, 14 to 18 percent slopes, eroded	35
Adams County	Y24F	Shelby loam, dissected till plain, 18 to 25 percent slopes	27
Adams County	Y93D2	Shelby-Adair clay loams, dissected till plain, 9 to 14 percent slopes, eroded	35
Adams County	Y93E2	Shelby-Adair clay loams, dissected till plain, 14 to 18 percent slopes, eroded	28
Adams County	Y192D2	Adair clay loam, dissected till plain, 9 to 14 percent slopes, eroded	16
Allamakee County	40D	Fayette silt loam, karst, 2 to 14 percent slopes	5
Allamakee County	41B	Sparta sand, 2 to 5 percent slopes	38
Allamakee County	41C	Sparta sand, 5 to 9 percent slopes	33
Allamakee County	41D	Sparta sand, 9 to 14 percent slopes	7
Allamakee County	63B	Chelsea loamy sand, 2 to 5 percent slopes	16
Allamakee County	63C	Chelsea loamy sand, 5 to 9 percent slopes	11
Allamakee County	63D	Chelsea loamy sand, 9 to 14 percent slopes	7
Allamakee County	63E	Chelsea loamy sand, 14 to 18 percent slopes	7
Allamakee County	63F	Chelsea loamy sand, 18 to 25 percent slopes	6
Allamakee County	63G	Chelsea loamy sand, 25 to 45 percent slopes	5
Allamakee County	85	Eitzen silt loam, 0 to 2 percent slopes	80
Allamakee County	85B	CSR2	79
Allamakee County	98	Huntsville silt loam, 0 to 2 percent slopes	89
Allamakee County	98B	Huntsville silt loam, 2 to 5 percent slopes	88
Allamakee County	118	Garwin silty clay loam, 0 to 2 percent slopes	90
Allamakee County	119B	Muscatine silt loam, 1 to 4 percent slopes	95
Allamakee County	120B	Tama silt loam, driftless, 2 to 6 percent slopes	95
Allamakee County	120C	Tama silt loam, driftless, 5 to 9 percent slopes	90
Allamakee County	129B	Arenzville-Chaseburg complex, 1 to 5 percent slopes	73
Allamakee County	140B	Sparta loamy sand, 2 to 5 percent slopes	38
Allamakee County	140C	Sparta loamy sand, 5 to 9 percent slopes	33
Allamakee County	142	Chaseburg silt loam, 0 to 2 percent slopes	79
Allamakee County	162B	Downs silt loam, 2 to 6 percent slopes	90
Allamakee County	162B2	Downs silt loam, 2 to 6 percent slopes, moderately eroded	87
Allamakee County	162C2	Downs silt loam, 5 to 9 percent slopes, moderately eroded	80
Allamakee County	162D2	Downs silt loam, 9 to 14 percent slopes, moderately eroded	54
Allamakee County	162E2	Downs silt loam, 14 to 18 percent slopes, moderately eroded	42
Allamakee County	163B	Fayette silt loam, 2 to 6 percent slopes	83
Allamakee County	163B2	Fayette silt loam, 2 to 6 percent slopes, moderately eroded	80
Allamakee County	163C	Fayette silt loam, 5 to 9 percent slopes	75
Allamakee County	163C2	Fayette silt loam, 5 to 9 percent slopes, moderately eroded	72
Allamakee County	163D	Fayette silt loam, 9 to 14 percent slopes	49
Allamakee County	163D2	Fayette silt loam, 9 to 14 percent slopes, moderately eroded	46
Allamakee County	163E	Fayette silt loam, 14 to 18 percent slopes	38
Allamakee County	163E2	Fayette silt loam, 14 to 18 percent slopes, moderately eroded	35
Allamakee County	163F	Fayette silt loam, 18 to 25 percent slopes	21
Allamakee County	163G	Fayette silt loam, 25 to 40 percent slopes	5
Allamakee County	178B	Waukee loam, 2 to 5 percent slopes	64
Allamakee County	196C	Volney channery silt loam, 2 to 12 percent slopes, occasionally flooded	47
Allamakee County	206C	Shullsburg silty clay loam, 3 to 9 percent slopes	53
Allamakee County	210E	Boone loamy sand, 9 to 18 percent slopes	7
Allamakee County	210F	Boone loamy sand, 18 to 25 percent slopes	6
Allamakee County	210G	Boone loamy sand, 25 to 40 percent slopes	5
Allamakee County	249C	Zwingle silt loam, 1 to 9 percent slopes	46
Allamakee County	291	Atterberry silt loam, 1 to 3 percent slopes	85
