musym,value,valid_subsoil,data_source,unfavorable
100A,118,FAV,IL buletin,0
101A,125,FAV,IL buletin,0
102A,121,FAV,IL buletin,0
103A,130,FAV,IL buletin,0
104A,132,FAV,IL buletin,0
104B,132,FAV,IL buletin,0
105A,129,FAV,IL buletin,0
105B,129,FAV,IL buletin,0
105B2,129,FAV,IL buletin,0
105C,129,FAV,IL buletin,0
105C2,129,FAV,IL buletin,0
1067A,133,FAV,IL univeristy,0
106B,113,FAV,IL buletin,0
106C2,113,FAV,IL buletin,0
1070,132,FAV,IL buletin,0
1070A,132,FAV,IL buletin,0
1070L,132,FAV,IL buletin,0
1071,111,FAV,IL buletin,0
1071A,111,FAV,IL buletin,0
1076A,139,FAV,IL buletin,0
1082A,125,FAV,IL univeristy,0
1083A,116,FAV,IL buletin,0
1085A,82,FAV,IL univeristy,0
109,106,FAV,IL buletin,0
109A,106,FAV,IL buletin,0
10C,81,UNF,IL buletin,1
10D,81,UNF,IL buletin,1
1100A,118,FAV,IL buletin,0
1103A,130,FAV,IL buletin,0
1107A,139,FAV,IL buletin,0
1108A,111,FAV,IL buletin,0
1108T,111,FAV,IL buletin,0
111A,114,FAV,IL buletin,0
112,117,FAV,IL buletin,0
112A,117,FAV,IL buletin,0
113A,119,FAV,IL buletin,0
113B,119,FAV,IL buletin,0
113B2,119,FAV,IL buletin,0
1152A,144,FAV,IL buletin,0
1153A,136,FAV,IL buletin,0
116,116,FAV,IL buletin,0
1166L,133,FAV,IL buletin,0
116A,116,FAV,IL buletin,0
119B,112,FAV,IL buletin,0
119B2,112,FAV,IL buletin,0
119C2,112,FAV,IL buletin,0
119C3,112,FAV,IL univeristy,0
119D,112,FAV,IL buletin,0
119D2,112,FAV,IL buletin,0
119D3,112,FAV,IL univeristy,0
119E,112,FAV,IL buletin,0
119E2,112,FAV,IL buletin,0
1200A,110,FAV,IL univeristy,0
1201A,110,FAV,IL buletin,0
1206A,126,FAV,IL buletin,0
120A,89,UNF,IL buletin,1
1210A,126,FAV,IL buletin,0
